COU,Country,Variable,Risk,Year,Unit,PowerCode,Value
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,139.187
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,124.178
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,107.634
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,83.66
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,72.271
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,69.773
AUS,Australia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,70.732
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,1.446961
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,1.265546
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.067323
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,0.8120517
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,0.6953256
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,0.6631836
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,0.669348
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,675.491
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,604.414
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,490.172
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,420.388
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,376.432
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,307.617
AUT,Austria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,267.22
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,6.958188
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,6.132102
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,4.838245
